iteration,energy
253,-822237690384726323450095643521974272.000000
254,-822237690384726323450095643521974272.000000
255,-822237690384726323450095643521974272.000000
256,-822237690384726323450095643521974272.000000
257,-822237690384726323450095643521974272.000000
258,-822237690384726323450095643521974272.000000
259,-822237690384726323450095643521974272.000000
260,-822237690384726323450095643521974272.000000
261,-822237690384726323450095643521974272.000000
262,-822237690384726323450095643521974272.000000
263,-822237690384726323450095643521974272.000000
264,-822237690384726323450095643521974272.000000
265,-822237690384726323450095643521974272.000000
266,-822237690384726323450095643521974272.000000
267,-822237690384726323450095643521974272.000000
268,-822237690384726323450095643521974272.000000
269,-822237690384726323450095643521974272.000000
270,-822237690384726323450095643521974272.000000
271,-822237690384726323450095643521974272.000000
272,-822237690384726323450095643521974272.000000
273,-822237690384726323450095643521974272.000000
274,-822237690384726323450095643521974272.000000
275,-822237690384726323450095643521974272.000000
276,-822237690384726323450095643521974272.000000
277,-822237690384726323450095643521974272.000000
278,-822237690384726323450095643521974272.000000
279,-822237690384726323450095643521974272.000000
280,-822237690384726323450095643521974272.000000
281,-822237690384726323450095643521974272.000000
282,-822237690384726323450095643521974272.000000
283,-822237690384726323450095643521974272.000000
284,-822237690384726323450095643521974272.000000
285,-822237690384726323450095643521974272.000000
286,-822237690384726323450095643521974272.000000
287,-822237690384726323450095643521974272.000000
288,-822237690384726323450095643521974272.000000
289,-822237690384726323450095643521974272.000000
290,-822237690384726323450095643521974272.000000
291,-822237690384726323450095643521974272.000000
292,-822237690384726323450095643521974272.000000
293,-822237690384726323450095643521974272.000000
294,-822237690384726323450095643521974272.000000
295,-822237690384726323450095643521974272.000000
296,-822237690384726323450095643521974272.000000
297,-822237690384726323450095643521974272.000000
298,-822237690384726323450095643521974272.000000
299,-822237690384726323450095643521974272.000000
300,-822237690384726323450095643521974272.000000
301,-822237690384726323450095643521974272.000000
302,-822237690384726323450095643521974272.000000
303,-822237690384726323450095643521974272.000000
304,-822237690384726323450095643521974272.000000
305,-822237690384726323450095643521974272.000000
306,-822237690384726323450095643521974272.000000
307,-822237690384726323450095643521974272.000000
308,-822237690384726323450095643521974272.000000
309,-822237690384726323450095643521974272.000000
310,-822237690384726323450095643521974272.000000
311,-822237690384726323450095643521974272.000000
312,-822237690384726323450095643521974272.000000
313,-822237690384726323450095643521974272.000000
314,-822237690384726323450095643521974272.000000
315,-822237690384726323450095643521974272.000000
316,-822237690384726323450095643521974272.000000
317,-822237690384726323450095643521974272.000000
318,-822237690384726323450095643521974272.000000
319,-822237690384726323450095643521974272.000000
320,-822237690384726323450095643521974272.000000
321,-822237690384726323450095643521974272.000000
322,-822237690384726323450095643521974272.000000
323,-822237690384726323450095643521974272.000000
324,-822237690384726323450095643521974272.000000
325,-822237690384726323450095643521974272.000000
326,-822237690384726323450095643521974272.000000
327,-822237690384726323450095643521974272.000000
328,-822237690384726323450095643521974272.000000
329,-822237690384726323450095643521974272.000000
